name: Cisco-IOS-XR-fib-common-oper:mpls-forwarding/nodes/node/label-fib/forwarding-details/forwarding-detail
time                     source label_value label_information/outgoing_label label_information/outgoing_physical_interface label_information/tx_bytes
2021-03-18T20:58:46.916Z R02    100103      1048580                          Gi0/0/0/2                                     7131483
2021-03-18T20:59:16.875Z R02    100103      1048580                          Gi0/0/0/2                                     7182807
2021-03-18T20:59:16.941Z R02    100103      1048580                          Gi0/0/0/2                                     7182807
2021-03-18T20:59:46.846Z R02    100103      1048580                          Gi0/0/0/2                                     7235146
2021-03-18T20:59:46.913Z R02    100103      1048580                          Gi0/0/0/2                                     7235146
2021-03-18T21:00:16.862Z R02    100103      1048580                          Gi0/0/0/2                                     7290586
2021-03-18T21:00:16.928Z R02    100103      1048580                          Gi0/0/0/2                                     7290586
2021-03-18T21:00:46.858Z R02    100103      1048580                          Gi0/0/0/2                                     7342295
2021-03-18T21:00:46.921Z R02    100103      1048580                          Gi0/0/0/2                                     7342295
2021-03-18T21:01:16.852Z R02    100103      1048580                          Gi0/0/0/2                                     7388621
2021-03-18T21:01:16.911Z R02    100103      1048580                          Gi0/0/0/2                                     7388621
2021-03-18T21:01:46.848Z R02    100103      1048580                          Gi0/0/0/2                                     7435038
2021-03-18T21:01:46.91Z  R02    100103      1048580                          Gi0/0/0/2                                     7435038
2021-03-18T21:02:16.839Z R02    100103      1048580                          Gi0/0/0/2                                     7482708
2021-03-18T21:02:16.9Z   R02    100103      1048580                          Gi0/0/0/2                                     7482708
2021-03-18T21:02:46.841Z R02    100103      1048580                          Gi0/0/0/2                                     7537903
2021-03-18T21:02:46.898Z R02    100103      1048580                          Gi0/0/0/2                                     7537903
2021-03-18T21:03:16.855Z R02    100103      1048580                          Gi0/0/0/2                                     7593259
2021-03-18T21:03:16.926Z R02    100103      1048580                          Gi0/0/0/2                                     7593259
2021-03-18T21:03:46.848Z R02    100103      1048580                          Gi0/0/0/2                                     7648244
2021-03-18T21:03:46.917Z R02    100103      1048580                          Gi0/0/0/2                                     7648244
2021-03-18T21:04:16.838Z R02    100103      1048580                          Gi0/0/0/2                                     7695914
2021-03-18T21:04:16.899Z R02    100103      1048580                          Gi0/0/0/2                                     7695914
2021-03-18T21:04:46.887Z R02    100103      1048580                          Gi0/0/0/2                                     7746699
2021-03-18T21:04:46.938Z R02    100103      1048580                          Gi0/0/0/2                                     7746699
2021-03-18T21:05:16.822Z R02    100103      1048580                          Gi0/0/0/2                                     7789161
2021-03-18T21:05:16.884Z R02    100103      1048580                          Gi0/0/0/2                                     7789161
2021-03-18T21:05:46.846Z R02    100103      1048580                          Gi0/0/0/2                                     7838434
2021-03-18T21:05:46.912Z R02    100103      1048580                          Gi0/0/0/2                                     7838434
2021-03-18T21:06:16.85Z  R02    100103      1048580                          Gi0/0/0/2                                     7888708
2021-03-18T21:06:16.904Z R02    100103      1048580                          Gi0/0/0/2                                     7888708
2021-03-18T21:06:46.859Z R02    100103      1048580                          Gi0/0/0/2                                     7939787
2021-03-18T21:06:46.921Z R02    100103      1048580                          Gi0/0/0/2                                     7939787
2021-03-18T21:07:16.831Z R02    100103      1048580                          Gi0/0/0/2                                     7993379
2021-03-18T21:07:16.887Z R02    100103      1048580                          Gi0/0/0/2                                     7993379
2021-03-18T21:07:46.848Z R02    100103      1048580                          Gi0/0/0/2                                     8044920
2021-03-18T21:07:46.909Z R02    100103      1048580                          Gi0/0/0/2                                     8044920
2021-03-18T21:08:16.838Z R02    100103      1048580                          Gi0/0/0/2                                     8099604
2021-03-18T21:08:16.891Z R02    100103      1048580                          Gi0/0/0/2                                     8099604
2021-03-18T21:08:46.825Z R02    100103      1048580                          Gi0/0/0/2                                     8152321
2021-03-18T21:08:46.883Z R02    100103      1048580                          Gi0/0/0/2                                     8152321
2021-03-18T21:09:16.862Z R02    100103      1048580                          Gi0/0/0/2                                     8199781
2021-03-18T21:09:16.928Z R02    100103      1048580                          Gi0/0/0/2                                     8199781
2021-03-18T21:09:46.848Z R02    100103      1048580                          Gi0/0/0/2                                     8252204
2021-03-18T21:09:46.909Z R02    100103      1048580                          Gi0/0/0/2                                     8252204
2021-03-18T21:10:16.834Z R02    100103      1048580                          Gi0/0/0/2                                     8303150
2021-03-18T21:10:16.907Z R02    100103      1048580                          Gi0/0/0/2                                     8303150
2021-03-18T21:10:46.858Z R02    100103      1048580                          Gi0/0/0/2                                     8352549
2021-03-18T21:10:46.938Z R02    100103      1048580                          Gi0/0/0/2                                     8352549
2021-03-18T21:11:16.85Z  R02    100103      1048580                          Gi0/0/0/2                                     8402907
2021-03-18T21:11:16.904Z R02    100103      1048580                          Gi0/0/0/2                                     8402907
2021-03-18T21:11:46.836Z R02    100103      1048580                          Gi0/0/0/2                                     8453356
2021-03-18T21:11:46.892Z R02    100103      1048580                          Gi0/0/0/2                                     8453356
2021-03-18T21:12:16.824Z R02    100103      1048580                          Gi0/0/0/2                                     8502370
2021-03-18T21:12:16.881Z R02    100103      1048580                          Gi0/0/0/2                                     8502370
2021-03-18T21:12:46.842Z R02    100103      1048580                          Gi0/0/0/2                                     8555255
2021-03-18T21:12:46.906Z R02    100103      1048580                          Gi0/0/0/2                                     8555255
